open,high,low,close,volume,close_time,number_of_trades,RSI_14,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0
1886.32,1891.69,1879.87,1890.87,171.2759,1683217799999,583,45.351753948352865,1881.6935535296284,1897.9170000000004,1914.1404464703724,1.7096054748834622,0.2828143356323811
1889.26,1889.26,1882.1,1886.47,97.2745,1683219599999,343,41.174771848605175,1880.2646765159795,1897.2120000000002,1914.159323484021,1.7865503153069524,0.1830767994093985
1886.63,1888.25,1880.54,1882.99,108.5345,1683221399999,375,38.17966774697342,1878.3465820510066,1896.4170000000001,1914.4874179489937,1.9057430880437696,0.12848119955222187
1883.15,1883.97,1878.41,1882.44,188.4444,1683223199999,563,37.712753536024834,1876.5319252177642,1895.6075000000003,1914.6830747822364,2.0126080723183586,0.15485967918874166
1882.3,1883.53,1871.15,1872.9,282.9683,1683224999999,755,30.699669851541238,1872.8394935453675,1894.1265000000003,1915.413506454633,2.247685828230878,0.0014212062828446944
1873.03,1874.08,1867.9,1873.26,295.7966,1683226799999,691,31.219456584650615,1869.8165960543547,1892.6930000000004,1915.5694039456462,2.417339097851128,0.0752610408923274
1871.84,1875.65,1867.05,1874.3,289.1885,1683228599999,675,32.78784359989475,1867.39780312416,1891.4135,1915.4291968758403,2.5394443759484795,0.1437017820370563
1873.84,1878.04,1873.12,1876.89,168.1357,1683230399999,364,36.66137746967527,1865.9044500786322,1890.1095,1914.3145499213679,2.5612325551898283,0.2269268181031522
1875.85,1877.63,1872.94,1876.61,69.8757,1683232199999,153,36.41703047119014,1864.963072819511,1888.626,1912.288927180489,2.5058351606394362,0.24610072734560723
1876.61,1880.09,1874.77,1877.67,208.3663,1683233999999,371,38.09903879305533,1865.451402516059,1886.9254999999998,1908.3995974839406,2.276093834540982,0.2844961818087723
1877.82,1879.68,1871.43,1873.55,66.7329,1683235799999,173,34.300915339164156,1865.6203760748278,1885.144,1904.6676239251722,2.0713138015103527,0.2030776651804971
1874.99,1876.65,1871.58,1876.43,28.1737,1683237599999,93,38.887260789063255,1866.1800046287394,1883.729,1901.2779953712607,1.8632186871105787,0.2920393775944206
1876.9,1877.31,1870.19,1872.0,124.8562,1683239399999,274,34.85649901969661,1866.9521256925857,1882.0704999999998,1897.188874307414,1.6065683307202483,0.16694501024950828
1872.39,1874.45,1870.77,1871.5,76.3082,1683241199999,190,34.422811348403066,1866.9280561624178,1880.7424999999998,1894.556943837582,1.4690414916004797,0.1654769417913266
1871.08,1877.36,1871.08,1875.78,85.7568,1683242999999,235,41.170386846056864,1866.997614100552,1879.9409999999998,1892.8843858994476,1.376999161085138,0.3392615335614247
1875.8,1877.55,1874.2,1877.55,43.4468,1683244799999,115,43.748166671103746,1866.8106610634227,1879.5684999999999,1892.326338936577,1.357528489818506,0.4208917744598267
1877.52,1878.72,1875.66,1878.09,44.3885,1683246599999,130,44.54649946765493,1866.8904840874307,1879.0975000000003,1891.30451591257,1.2992424195731895,0.45873274815006343
1878.74,1881.89,1877.75,1879.95,150.7919,1683248399999,435,47.319809934084994,1867.0979200905404,1878.7485000000001,1890.39907990946,1.240249017839247,0.5515639568732681
1879.95,1880.88,1876.93,1880.06,35.0715,1683250199999,120,47.48707304661516,1867.7284368953772,1878.2825,1888.8365631046229,1.1237993331272431,0.5842092747778505
1880.84,1902.62,1880.42,1899.39,361.2499,1683251999999,945,67.19714861999479,1865.1610176375395,1878.935,1892.7089823624603,1.4661478297504067,1.242523093965482
1899.07,1909.21,1892.36,1896.92,303.8965,1683253799999,751,63.8968640367646,1864.1561893067442,1879.2375000000002,1894.3188106932562,1.6050457372477933,1.0862388342648188
1897.23,1902.37,1896.58,1898.73,111.835,1683255599999,293,65.24395583235146,1862.6795251138133,1879.8505000000002,1897.0214748861872,1.8268447290023293,1.0497503818256475
1898.86,1902.21,1897.96,1899.58,43.7462,1683257399999,140,65.88766362099936,1861.3974111638001,1880.6800000000003,1899.9625888362004,2.050597532403189,0.9900794224403556
1899.71,1901.48,1894.67,1896.75,110.5128,1683259199999,307,61.78475410513094,1860.8193508125657,1881.3955000000003,1901.9716491874349,2.187328415257139,0.8731140326630302
1897.03,1900.61,1896.41,1899.95,42.6502,1683260999999,126,64.47833124644934,1861.0003761826995,1882.748,1904.4956238173006,2.3102001773259686,0.8954914832193195
1900.09,1900.59,1896.77,1897.59,13.9397,1683262799999,66,61.06013325087941,1861.7349734142929,1883.9645,1906.1940265857072,2.3598668218755887,0.806473013437016
1897.68,1898.62,1893.32,1896.24,51.246,1683264599999,187,59.12909400785105,1862.675233260322,1885.0615000000003,1907.4477667396784,2.375123224327498,0.749673161898554
1895.06,1899.26,1895.06,1897.29,44.0382,1683266399999,123,60.18380464132714,1863.4057849213286,1886.0815,1908.7572150786714,2.4045318379583676,0.7471476635050552
1897.19,1900.76,1897.02,1897.49,60.4084,1683268199999,160,60.39346258199589,1864.3633934558188,1887.1255000000006,1909.8876065441823,2.4123574764033155,0.7276700528547685
1897.52,1900.88,1896.51,1899.03,87.9822,1683269999999,192,62.05050258994315,1865.2953858139886,1888.1935000000003,1911.091614186012,2.4253991114800204,0.7366242894932278
