,open,high,low,close,volume,number_of_trades,RSI_14,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0
1443,7457.18,7464.35,7452.55,7459.01,3.72439,980,33.97566403714814,7413.23324800935,7467.141999999999,7521.050751990648,1.443892509092471,0.42457625432129004
1444,7459.01,7472.88,7449.22,7453.32,1.710673,350,33.30545859226676,7413.315615781758,7467.181,7521.046384218241,1.4427234111036324,0.37133666452799624
1445,7454.54,7454.54,7418.1,7436.09,4.239252,276,31.292486446320286,7414.5848148220975,7467.521,7520.457185177902,1.4177713106639322,0.2031236771749826
1446,7435.46,7439.63,7407.87,7411.97,6.092342,214,28.679315403073375,7406.21215523822,7463.7705000000005,7521.3288447617815,1.542339619413029,0.050017463024787386
1447,7413.38,7442.16,7406.45,7422.96,6.198426,584,31.48673607928828,7401.108402977861,7461.271500000001,7521.43459702214,1.6126767943544067,0.1816029933939204
1448,7424.21,7430.24,7393.93,7398.62,6.916015,730,28.78430115078717,7391.553023701281,7457.363500000001,7523.173976298722,1.7649797089472827,0.05369187928865102
1449,7399.95,7432.96,7398.7,7407.85,2.879566,442,31.195914283763575,7386.955418420007,7452.594500000001,7518.233581579995,1.7615095408718162,0.15916265947847907
1450,7412.9,7429.16,7392.89,7426.29,4.827685,573,35.868398912872195,7387.715961870772,7448.401500000002,7509.087038129232,1.629491593041267,0.31781903331799277
1451,7426.29,7426.67,7401.13,7414.11,1.54772,106,34.21556787222414,7387.87821168699,7443.7710000000025,7499.663788313015,1.5017331487766805,0.23466165407696038
1452,7418.4,7424.51,7412.06,7418.45,0.531102,75,35.35858942291833,7388.774017405366,7439.871500000002,7490.968982594638,1.3736119661377468,0.29038595531268935
1453,7419.46,7423.19,7403.06,7412.59,1.286224,155,34.48725966682672,7387.763043555367,7436.481000000002,7485.198956444636,1.3102422085024938,0.25480293362517664
1454,7413.39,7413.39,7365.86,7376.67,4.194603,361,29.662088384896776,7378.244580431481,7432.214000000001,7486.183419568521,1.4523106995713442,-0.014587709522074721
1455,7381.53,7389.5,7341.62,7363.24,3.919583,241,28.080190431694085,7370.055426128168,7426.055000000001,7482.054573871835,1.5081917349611196,-0.06085248205429589
1456,7359.0,7431.42,7359.0,7419.65,4.082038,662,42.057892969279074,7369.701926495194,7424.472000000001,7479.242073504807,1.4753930920557456,0.4559796099271452
1457,7421.82,7436.69,7414.47,7419.84,1.911228,153,42.09871152911923,7369.267728221166,7424.041500000001,7478.815271778836,1.4755782757635445,0.4616467894801383
1458,7418.77,7422.48,7394.39,7422.48,1.252227,153,42.70270538347063,7368.883345793911,7423.2875,7477.69165420609,1.4657698278852735,0.4925786917213905
1459,7421.55,7459.28,7421.52,7452.94,3.517288,544,49.27714361310545,7369.358076900091,7425.178,7480.997923099909,1.5035309079434573,0.748674652868207
1460,7452.94,7471.86,7435.54,7461.25,2.965737,386,50.93133068193936,7369.298894029694,7425.213,7481.127105970306,1.506060660355631,0.8222532076175749
1461,7464.27,7468.19,7439.11,7439.11,0.701194,74,46.573401639597826,7370.967995814647,7423.826,7476.684004185353,1.4240097810846566,0.6445760224544658
1462,7439.11,7449.02,7424.93,7439.91,1.664215,106,46.75070055700262,7372.147562944624,7422.8175,7473.487437055376,1.3652480895664232,0.6686650999913393
1463,7444.83,7453.71,7426.84,7431.12,3.191946,436,44.98428471622869,7373.485554311993,7421.423000000001,7469.360445688008,1.2918666861599926,0.6011422267167758
1464,7432.76,7437.58,7412.46,7415.55,6.712984,495,41.95998666290065,7373.970805552309,7419.5345,7465.098194447691,1.228208978546861,0.4562754946860823
1465,7415.07,7431.36,7411.24,7420.77,5.135445,203,43.33542764409606,7373.866394890089,7418.768500000001,7463.670605109913,1.2105002362565065,0.5222873737779121
1466,7421.26,7447.67,7421.26,7441.67,3.747006,160,48.588739412552385,7374.344895014416,7420.253500000001,7466.162104985586,1.2373864312205787,0.7332514787448233
1467,7442.24,7460.04,7438.25,7443.89,9.382914,1179,49.1282372625857,7374.193053812725,7421.299999999999,7468.406946187273,1.2695065874516307,0.7397735560080076
1468,7441.74,7459.14,7434.24,7439.97,7.415296,1103,48.16706891460745,7376.825495936482,7423.3674999999985,7469.909504063515,1.2539323713534671,0.6783603900827326
1469,7439.31,7462.81,7432.64,7451.18,10.777293,1396,51.112637346007645,7378.009781064744,7425.533999999999,7473.0582189352535,1.2800215832357593,0.7698203208235856
1470,7451.18,7481.9,7451.18,7468.89,20.435176,2747,55.422619978610435,7376.33112906882,7427.664000000001,7478.996870931182,1.3822076747462155,0.9015555651978735
1471,7472.49,7478.99,7455.53,7463.54,7.22597,417,53.877347666188896,7376.828519128674,7430.1355,7483.442480871327,1.434885834082736,0.8133220026156827
1472,7463.53,7464.84,7415.41,7432.35,12.652529,1660,45.85107720140353,7377.803287332351,7430.8305,7483.857712667649,1.427221699314743,0.5143275492295237
1473,7434.62,7445.67,7417.11,7432.23,3.951773,679,45.82279327511503,7379.484764824827,7431.812500000001,7484.140235175175,1.4082092403481379,0.5039892802411667
1474,7431.76,7452.97,7425.14,7440.23,9.159551,1952,48.120422813065325,7389.488442913655,7434.9905,7480.492557086345,1.223997719602878,0.5575743201022444
1475,7438.84,7458.94,7430.21,7452.99,5.070084,1211,51.64305744776496,7408.332597971619,7439.477999999999,7470.623402028379,0.837300736110248,0.71691805403071
1476,7453.48,7457.1,7430.36,7432.51,4.607544,861,46.21864903260507,7410.191940786518,7440.120999999999,7470.05005921348,0.8045315180621713,0.37284932771006246
1477,7432.5,7437.43,7421.71,7432.96,3.166725,643,46.35198929411564,7412.173871644526,7440.777000000001,7469.380128355476,0.7688210076844081,0.36335410758479697
1478,7431.39,7448.64,7429.78,7443.85,6.301096,1467,49.608038138746984,7414.553745719273,7441.845500000001,7469.137254280729,0.7334673712516102,0.5367235462290264
1479,7443.85,7455.23,7430.11,7439.64,4.8285,1275,48.38542036128363,7414.383323810713,7441.1805,7467.977676189288,0.7202399186335477,0.47125629974743594
1480,7439.64,7447.38,7436.51,7447.38,3.776987,441,50.78681572989092,7415.201467541303,7440.487,7465.772532458697,0.6796741250592108,0.6363032400298363
1481,7444.63,7470.17,7444.63,7470.16,3.239314,881,57.11138226746681,7413.505727228743,7442.0395,7470.573272771257,0.7668266950546752,0.9927581821273728
1482,7469.16,7471.29,7450.98,7459.8,3.3605,1074,53.72954151482899,7413.445748844241,7443.034000000001,7472.62225115576,0.7950588739957194,0.7833219157114015
1483,7455.66,7459.82,7438.23,7439.24,4.675751,1466,47.69367893127445,7414.320965889837,7443.4400000000005,7472.559034110164,0.7824079756178255,0.427882223288877
1484,7439.24,7452.62,7435.97,7452.62,1.975283,358,51.51123169297074,7419.07449421506,7445.293500000001,7471.512505784941,0.7043108719606617,0.6397173496984282
1485,7447.47,7448.77,7428.97,7430.72,3.166521,378,45.639760741264915,7421.204495440467,7445.791,7470.377504559533,0.66041350232723,0.1935107232606498
1486,7430.68,7451.55,7427.15,7445.46,1.326125,304,49.788236077494005,7421.4694254002425,7445.9805,7470.491574599757,0.6583706363388192,0.4893823504579276
1487,7446.22,7453.34,7439.96,7447.58,2.586515,361,50.37482287446547,7421.664632223317,7446.165,7470.665367776683,0.6580667437985231,0.5288771175375302
1488,7447.41,7461.55,7444.86,7451.43,0.829142,160,51.48330218396423,7422.311746993666,7446.738,7471.164253006335,0.6560255780808795,0.5960442029070785
1489,7456.19,7456.19,7415.39,7415.47,6.23839,372,42.03808262773516,7416.936545990051,7444.952500000001,7472.9684540099515,0.7526160579251591,-0.026173408007627085
1490,7415.47,7434.3,7413.92,7424.94,2.143607,559,44.90473429201826,7415.768995437528,7442.755000000002,7469.741004562476,0.7251617059132989,0.16992149655278
1491,7424.94,7429.64,7412.06,7418.04,2.473826,555,43.22719377526286,7413.201847567313,7440.4800000000005,7467.758152432688,0.7332363619736205,0.08868182045367104
1492,7418.44,7430.14,7417.0,7425.99,2.101525,543,45.74223721785131,7412.3418848968695,7440.162000000001,7467.982115103133,0.747836273004047,0.24529221127474665
1493,7426.4,7441.66,7423.04,7437.42,2.018055,416,49.224962116459004,7412.816925796022,7440.421500000001,7468.026074203981,0.7420164087203824,0.44563401018573756
1494,7435.67,7451.34,7422.88,7443.13,4.586213,473,50.91983776207212,7412.935707658773,7440.566500000001,7468.197292341229,0.7427066834555618,0.5463884634277083
1495,7443.78,7449.37,7425.61,7435.53,3.201191,148,48.59475126511233,7412.617705194463,7439.6935,7466.769294805537,0.7278739320520944,0.4231139837278364
1496,7432.02,7439.11,7429.45,7439.11,3.434894,413,49.758525131135286,7413.156269105648,7440.0235,7466.890730894353,0.7222351083797615,0.4829997366756432
1497,7439.11,7443.58,7431.25,7438.17,3.556249,527,49.44201558516319,7413.6047603648585,7440.2840000000015,7466.963239635144,0.7171564858315339,0.4603811797316601
1498,7438.66,7438.66,7421.81,7424.34,2.396047,639,44.91521080329847,7411.765513670799,7439.3085,7466.851486329201,0.7404716803773116,0.22827020605005457
1499,7424.34,7429.31,7420.73,7425.35,2.775227,665,45.30902839740414,7410.354624426649,7438.594,7466.833375573351,0.7592664843208549,0.2655047299895362
1500,7423.99,7425.23,7377.73,7405.13,8.754711,485,39.257917143404654,7404.887568351919,7436.4815,7468.075431648081,0.8497010756519948,0.003836680581281252
1501,7405.51,7447.47,7401.27,7440.0,3.261283,304,51.32966606461968,7407.543222239167,7434.9735,7462.403777760833,0.7378715676883777,0.5916232063675492
1502,7439.99,7458.89,7438.04,7443.41,2.657076,308,52.32744888532141,7408.958413583356,7434.154,7459.349586416645,0.6778333194777725,0.6836829642886317
1503,7444.49,7450.21,7438.86,7438.86,0.500125,90,50.83006196125373,7408.954994144588,7434.135000000001,7459.315005855414,0.6774158891495156,0.5938244420420352
1504,7443.28,7467.88,7441.25,7460.24,5.589973,224,57.04953177659386,7407.9650444986155,7434.516,7461.066955501384,0.7142618430408685,0.9844270105205658
1505,7462.19,7462.19,7445.76,7457.56,4.423614,223,56.091754553411434,7407.46554392014,7435.858,7464.250456079861,0.7636632135756356,0.8821789833707626
1506,7456.24,7470.52,7444.12,7450.05,2.101754,135,53.38694129631469,7407.296836397577,7436.0875,7464.878163602422,0.7743497801074203,0.7424831221817622
1507,7450.05,7462.67,7441.06,7441.06,1.22265,146,50.26240235349753,7407.37392430524,7435.7615000000005,7464.149075694761,0.7635418563320225,0.5933242777927271
1508,7440.95,7453.17,7439.25,7447.17,1.620527,169,52.305483223157275,7407.595331435898,7435.548500000001,7463.501668564104,0.7518791267141403,0.7078744664195842
1509,7446.1,7452.98,7439.57,7442.49,0.821606,119,50.591266871024054,7410.461538872815,7436.8994999999995,7463.337461127184,0.7109941751178507,0.605728652317518
1510,7442.49,7495.49,7442.04,7484.71,3.152267,246,62.52376610089818,7406.53414242883,7439.888,7473.24185757117,0.8966225720379127,1.171916282912097
1511,7484.71,7608.88,7481.24,7580.31,12.348112,564,76.41393515449654,7378.101263639184,7448.0015,7517.901736360816,1.877019932415858,1.446409532272828
1512,7585.76,7637.2,7566.59,7604.85,11.181179,1066,78.60596124169557,7358.82952416401,7456.9445,7555.059475835989,2.631506130587126,1.2537355981580298
1513,7604.85,7605.91,7565.1,7573.4,4.22342,594,69.66953424101504,7353.259155164081,7463.7435000000005,7574.22784483592,2.9605611402889105,0.9962535649862883
1514,7575.56,7632.98,7575.55,7622.11,6.000915,591,74.50413244869418,7342.078085888,7472.692500000001,7603.306914112002,3.495779174962738,1.0719793677284113
1515,7627.0,7642.81,7612.95,7619.08,3.854266,504,73.7169814818173,7337.211190381865,7481.870000000001,7626.528809618137,3.8669158811402977,0.9742538679884075
1516,7622.96,7632.17,7614.97,7624.02,1.602193,305,74.19565512250445,7334.797381243044,7491.1155,7647.433618756956,4.173427008486419,0.9251090694311668
1517,7625.61,7682.65,7621.92,7666.97,7.147855,979,77.95487508518352,7329.915296171262,7502.5555,7675.195703828739,4.602170655818242,0.9761767431736268
1518,7668.39,7684.99,7639.73,7641.23,6.776112,612,71.25523129511068,7334.318760687177,7513.4,7692.481239312822,4.766982705907382,0.8569050574211852
1519,7643.5,7675.5,7643.5,7665.55,6.063653,279,73.5667563398165,7339.1193686562665,7525.41,7711.700631343733,4.95097626159195,0.8761327099198607
1520,7669.1,7735.68,7669.1,7713.49,11.249633,453,77.42118545895451,7345.623675026012,7540.8279999999995,7736.032324973987,5.177265015830815,0.9422596682297102
